url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/24780332.html","Mieszkanie, ul. Kordiana","Kordiana, Kurdwanów, Kraków, małopolskie",640 000 zł,"53,10 m²",12 053 zł/m²,parter,3,2,2011,-,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/24777101.html","Mieszkanie, ul. Woźniców","Woźniców, Czyżyny, Kraków, małopolskie",680 000 zł,"34,50 m²","19 710,14 zł/m²",3,4,2,2023,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-kuchnia-z-oknem/24820942.html",Apartament Kraków,"Przemyslowa 4, Zabłocie, Kraków, małopolskie",710 000 zł,34 m²,"20 882,35 zł/m²",3,4,1,2013,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24733987.html",Mieszkanie,"Sołtysowska, Czyżyny, Kraków, małopolskie",745 000 zł,"32,50 m²","22 923,08 zł/m²",5,5,2,2023,garaż,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24807693.html","Mieszkanie, ul. Tetmajera","Tetmajera, Bronowice, Kraków, małopolskie",820 000 zł,"78,93 m²","10 388,95 zł/m²",parter,1,4,2023,garaż,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/24810671.html",Apartament,"Słomiana, Dębniki, Kraków, małopolskie",890 000 zł,"57,60 m²","15 451,39 zł/m²",5,10,3,1970,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/23622554.html",Mieszkanie,"Stańczyka, Dzielnica VI Bronowice, Kraków, małopolskie",1 315 000 zł,"57,78 m²","22 758,74 zł/m²",13,14,3,2022,tak,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/24741764.html",Apartament,"Szwedzka, Dębniki, Kraków, małopolskie",1 650 000 zł,"85,41 m²","19 318,58 zł/m²",3,4,3,1997,garaż,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/24814974.html","Mieszkanie, Osiedle Jagiellońskie","Osiedle Jagiellońskie, Bieńczyce, Kraków, małopolskie",590 000 zł,"42,41 m²","13 911,81 zł/m²",3,4,2,1964,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,nad-rzeka/24816304.html","Mieszkanie, ul. Heila","Heila, Wola Duchacka, Kraków, małopolskie",895 000 zł,"59,29 m²","15 095,29 zł/m²",1,4,3,1988,przynależne na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24427910.html",Mieszkanie,"Bielany, Kraków, małopolskie",950 000 zł,101 m²,"9 405,94 zł/m²",parter,2,4,2022,garaż,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24744765.html","Apartament, ul. Władysława Łokietka","Władysława Łokietka, Prądnik Biały, Kraków, małopolskie",1 410 000 zł,"108,20 m²","13 401,11 zł/m²",parter,2,4,2023,garaż,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24806716.html","Mieszkanie, ul. Studencka","Studencka 25, Stare Miasto, Kraków, małopolskie",1 250 000 zł,44 m²,"28 409,09 zł/m²",4,4,2,2019,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/24752010.html",Apartament,"Królowej Jadwigi, Zwierzyniec, Kraków, małopolskie",1 615 000 zł,73 m²,"22 123,29 zł/m²",parter,2,3,2018,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24607777.html",Mieszkanie,"Biskupia, Stare Miasto, Kraków, małopolskie",3 500 000 zł,"141,30 m²","24 769,99 zł/m²",1,3,5,1913,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24800712.html","Mieszkanie, ul. Włóczków","Włóczków, Zwierzyniec, Kraków, małopolskie",840 000 zł,45 m²,"18 666,67 zł/m²",3,4,3,1970,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24801023.html",Apartament,"Kołowa, Krowodrza, Kraków, małopolskie",990 000 zł,"60,77 m²","16 290,93 zł/m²",7,12,2,2008,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24696237.html","Apartament, ul. Żmujdzka","Żmujdzka, Prądnik Czerwony, Kraków, małopolskie",950 000 zł,"63,78 m²","14 894,95 zł/m²",1,2,3,2019,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24119242.html","Mieszkanie, ul. Krowoderska","Krowoderska, Stare Miasto, Kraków, małopolskie",2 320 000 zł,"127,50 m²","18 196,08 zł/m²",1,3,4,-,-,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/24750722.html","Mieszkanie, ul. Jadźwingów","Jadźwingów, Mistrzejowice, Kraków, małopolskie",730 000 zł,57 m²,"12 807,02 zł/m²",4,4,3,1974,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24646046.html","Mieszkanie, ul. Sławkowska","Sławkowska 19, Stare Miasto, Kraków, małopolskie",2 799 920 zł,80 m²,34 999 zł/m²,1,3,3,1800,możliwość wykupienia,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24804937.html","Apartament, ul. Bobrzyńskiego","Bobrzyńskiego, Europejskie, Kraków, małopolskie",725 000 zł,"46,28 m²","15 665,51 zł/m²",1,7,2,2007,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,deweloperski,przy-lesie/24660916.html","Apartament, ul. Przybyszewskiego","Przybyszewskiego 64d, Bronowice, Kraków, małopolskie",1 225 000 zł,"62,40 m²","19 631,41 zł/m²",7,9,3,2021,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/24714711.html","Mieszkanie, ul. Radzikowskiego","Radzikowskiego, Azory, Kraków, małopolskie",598 000 zł,"45,10 m²","13 259,42 zł/m²",4,4,1,2004,-,wtórny,"spółdzielcze własnościowe, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,odlewnicza-apartments/24656014.html?2%2Cmieszkanie","Nowe mieszkanie Małe Błonia, ul. Odlewnicza 40",,1 699 000 zł,"152,23 m²","11 160,74 zł/m²",oddana do użytku,,1,6,naziemne,"kwiecień 2023, oddana do użytku",pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-z-oknem/24705161.html","Mieszkanie, ul. Pszenna","Pszenna, Bonarka, Kraków, małopolskie",599 000 zł,"35,70 m²","16 778,71 zł/m²",2,4,2,1983,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,odlewnicza-apartments/24523875.html?2%2Cmieszkanie","Nowe mieszkanie Małe Błonia, ul. Odlewnicza 40",,1 799 000 zł,"147,61 m²","12 187,52 zł/m²",oddana do użytku,,1,6,naziemne,"kwiecień 2023, oddana do użytku",pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,nad-jeziorem/24818015.html","Mieszkanie, ul. Raciborska","Raciborska, Ruczaj, Kraków, małopolskie",725 000 zł,"57,58 m²","12 591,18 zł/m²",2,3,2,2002,garaż w bryle budynku,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24816272.html","Mieszkanie, ul. Narutowicza","Narutowicza, Prądnik Biały, Kraków, małopolskie",775 000 zł,"57,50 m²","13 478,26 zł/m²",2,4,2,1980,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,nowe-wykonczone/24724213.html",Apartament Kraków,"Bielany, Kraków, małopolskie",699 000 zł,105 m²,"6 657,14 zł/m²",1,1,4,2023,przynależne na terenie ogrodzonym,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-z-oknem/24811170.html","Mieszkanie, ul. Tuchowska","Tuchowska, Kurdwanów, Kraków, małopolskie",740 000 zł,"49,38 m²","14 985,82 zł/m²",3,4,2,1997,-,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,odlewnicza-apartments/24656118.html?2%2Cmieszkanie","Nowe mieszkanie Małe Błonia, ul. Odlewnicza 40",,1 699 000 zł,"147,84 m²","11 492,15 zł/m²",oddana do użytku,,1,6,naziemne,"kwiecień 2023, oddana do użytku",pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,deweloperski/24829116.html","Apartament, ul. Szwedzka","Szwedzka, Dębniki, Kraków, małopolskie",1 200 000 zł,"63,90 m²","18 779,34 zł/m²",1,4,3,2024,w garażu podziemnym,pierwotny (zobacz inne nowe mieszkania w Krakowie),"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-remontu/24823373.html","Mieszkanie, Osiedle Tysiąclecia","Osiedle Tysiąclecia, Mistrzejowice, Kraków, małopolskie",555 000 zł,38 m²,"14 605,26 zł/m²",4,4,2,1970,-,wtórny,spółdzielcze własnościowe
"https://libertow.nieruchomosci-online.pl/nowe-mieszkanie,green-park-estate/24805364.html?2%2Cmieszkanie",Nowe mieszkanie ul. Ligustrowa 24,,489 000 zł,"46,71 m²","10 468,85 zł/m²",czerwiec 2025,,parter,3,naziemne,czerwiec 2025,pierwotny (oferta dewelopera)
"https://libertow.nieruchomosci-online.pl/nowe-mieszkanie,green-park-estate/24805299.html?2%2Cmieszkanie",Nowe mieszkanie ul. Ligustrowa 24,,489 000 zł,"46,71 m²","10 468,85 zł/m²",czerwiec 2025,,parter,3,naziemne,czerwiec 2025,pierwotny (oferta dewelopera)
"https://libertow.nieruchomosci-online.pl/nowe-mieszkanie,green-park-estate/24805730.html?2%2Cmieszkanie",Nowe mieszkanie ul. Ligustrowa 24,,639 000 zł,"67,91 m²","9 409,51 zł/m²",czerwiec 2025,,parter,4,naziemne,czerwiec 2025,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-z-oknem/24795732.html","Mieszkanie, ul. Halszki","Halszki, Kurdwanów, Kraków, małopolskie",599 000 zł,"49,30 m²","12 150,10 zł/m²",4,4,2,1983,-,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/24675407.html","Apartament, ul. Zakrzowiecka","Zakrzowiecka 57, Pychowice/ Stare Dębniki, Kraków, małopolskie",2 790 000 zł,118 m²,"23 644,07 zł/m²",1,2,4,2023,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/23474678.html","Apartament, ul. Gdańska","Gdańska 12, Prądnik Czerwony, Kraków, małopolskie",996 000 zł,"61,32 m²","16 242,66 zł/m²",3,3,3,2020,garaż w bryle budynku,wtórny,"własność, księga wieczysta"
"https://wieliczka.nieruchomosci-online.pl/nowe-mieszkanie,apartamenty-bogucka-10/24374411.html?2%2Cmieszkanie",Nowe mieszkanie ul. Bogucka 10,,429 000 zł,"34,66 m²","12 377,38 zł/m²",I kwartał 2024,,parter,2,-,I kwartał 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24834776.html","Mieszkanie, ul. Banacha","Banacha, Górka Narodowa, Kraków, małopolskie",640 000 zł,"36,39 m²","17 587,25 zł/m²",3,5,2,2019,tak,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24691722.html","Mieszkanie, ul. Lea","Lea, Krowodrza, Kraków, małopolskie",995 000 zł,48 m²,"20 729,17 zł/m²",-,,3,-,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/24732305.html","Apartament, ul. Dąbska","Dąbska, Grzegórzki, Kraków, małopolskie",1 320 000 zł,"70,60 m²","18 696,88 zł/m²",parter,,4,2018,w garażu podziemnym,wtórny,
"https://wieliczka.nieruchomosci-online.pl/nowe-mieszkanie,apartamenty-bogucka-10/24374416.html?2%2Cmieszkanie",Nowe mieszkanie ul. Bogucka 10,,629 000 zł,"76,66 m²","8 205,06 zł/m²",I kwartał 2024,,1,4,naziemne,I kwartał 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,m5,z-kuchnia-z-oknem/24445238.html","Mieszkanie, ul. Lubomirskiego","Lubomirskiego, Wesoła, Kraków, małopolskie",1 690 000 zł,103 m²,"16 407,77 zł/m²",2,4,5,1919,parking publiczny / na ulicy,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24781601.html","Mieszkanie, ul. Gwieździsta","Gwieździsta, Kraków Podgórze, Kraków, małopolskie",950 000 zł,70 m²,13 571 zł/m²,1,4,3,2010,w garażu podziemnym,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24803095.html","Mieszkanie, ul. Mackiewicza","Mackiewicza, Prądnik Biały, Kraków, małopolskie",790 000 zł,58 m²,13 621 zł/m²,9,10,3,1980,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-oddzielna-kuchnia/24799188.html","Kawalerka, ul. Seweryna","Seweryna, Na Kozłówce, Kraków, małopolskie",449 000 zł,"24,68 m²","18 192,87 zł/m²",1,4,1,1970,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24807794.html",Mieszkanie Kraków,"Podgórze Duchackie, Kraków, małopolskie",550 000 zł,34 m²,"16 176,47 zł/m²",3,4,2,1980,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24822883.html","Apartament, ul. Grzegórzecka","Grzegórzecka, Grzegórzki, Kraków, małopolskie",840 000 zł,"46,50 m²",18 065 zł/m²,1,8,1,2024,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/24799080.html","Mieszkanie, ul. Włoska","Włoska, Wola Duchacka, Kraków, małopolskie",779 000 zł,"52,25 m²","14 909,09 zł/m²",3,4,3,1980,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,przy-lesie/24817300.html","Mieszkanie, ul. Obozowa","Obozowa, Ruczaj, Kraków, małopolskie",739 000 zł,"44,20 m²","16 719,46 zł/m²",2,3,2,2015,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24812483.html","Mieszkanie, ul. Chełmońskiego","Chełmońskiego, Bronowice Wielkie, Kraków, małopolskie",660 000 zł,45 m²,"14 666,67 zł/m²",parter,2,2,2009,tak,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/24719914.html","Mieszkanie, ul. Zawodzie","Zawodzie, Prądnik Biały, Kraków, małopolskie",699 000 zł,62 m²,11 274 zł/m²,2,10,2,-,przynależne na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24827481.html",Kawalerka Kraków,"Stare Podgórze, Kraków, małopolskie",535 000 zł,25 m²,21 400 zł/m²,parter,,1,-,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/24779733.html","Mieszkanie, ul. Ułanów","Ułanów, Prądnik Czerwony, Kraków, małopolskie",790 000 zł,"61,40 m²","12 866,45 zł/m²",parter,10,3,1962,-,wtórny,"spółdzielcze własnościowe, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24696693.html","Mieszkanie, ul. Obozowa","Obozowa, Ruczaj, Kraków, małopolskie",695 000 zł,"51,94 m²","13 380,82 zł/m²",parter,7,2,2012,przynależne na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24776528.html","Mieszkanie, ul. Cystersów","Cystersów, Grzegórzki, Kraków, małopolskie",1 279 250 zł,"59,50 m²",21 500 zł/m²,7,7,3,2017,tak,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/24833385.html","Mieszkanie, ul. Fabryczna","Fabryczna 5, Grzegórzki, Kraków, małopolskie",999 999 zł,"48,40 m²","20 661,14 zł/m²",1,10,3,2017,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24591242.html","Kawalerka, ul. Sebastiana","Sebastiana, Stare Miasto, Kraków, małopolskie",599 000 zł,"19,54 m²","30 655,07 zł/m²",2,3,1,1896,parking publiczny / na ulicy,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24680843.html","Mieszkanie, ul. Myśliwska","Myśliwska, Płaszów, Kraków, małopolskie",720 000 zł,"42,39 m²","16 985,14 zł/m²",parter,4,2,2023,tak,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24352956.html","Mieszkanie Ruczaj, ul. Chmieleniec","Chmieleniec, Ruczaj, Kraków, małopolskie",850 000 zł,68 m²,12 500 zł/m²,1,3,3,2005,w garażu podziemnym,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-domu-wielorodzinnym,do-remontu/23746229.html","Mieszkanie, ul. Gardowskiego","Gardowskiego, Bieżanów-Prokocim, Kraków, małopolskie",799 000 zł,94 m²,8 500 zł/m²,parter,2,5,-,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/24339064.html","Mieszkanie, ul. Na Błonie","Na Błonie, Bronowice Małe, Kraków, małopolskie",795 000 zł,"54,30 m²","14 640,88 zł/m²",7,10,3,1975,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/24729979.html","Mieszkanie, ul. Sempołowskiej","Sempołowskiej, Wola Duchacka, Kraków, małopolskie",850 000 zł,"59,75 m²","14 225,94 zł/m²",parter,3,3,1992,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24527121.html","Kawalerka, ul. Żabiniec","Żabiniec, Żabiniec, Kraków, małopolskie",629 000 zł,26 m²,"24 192,31 zł/m²",parter,,1,2017,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24231847.html","Apartament, ul. Na Błonie","Na Błonie, Wola Justowska, Kraków, małopolskie",690 360 zł,"41,84 m²",16 500 zł/m²,1,2,2,2023,wiata garażowa,pierwotny (zobacz inne nowe mieszkania w Krakowie),"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-kuchnia-z-oknem/24783501.html","Apartament, ul. Poznańska","Poznańska, Krowodrza, Kraków, małopolskie",2 544 000 zł,124 m²,20 516 zł/m²,4,5,4,2010,-,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/24823305.html","Mieszkanie, ul. Czeczów","Czeczów, Bieżanów, Kraków, małopolskie",1 190 000 zł,91 m²,"13 076,92 zł/m²",3,4,4,2021,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/24792933.html","Apartament, ul. Grzegórzecka","Grzegórzecka, Grzegórzki, Kraków, małopolskie",799 000 zł,40 m²,19 975 zł/m²,parter,7,2,2015,garaż,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/24675645.html",Apartament,"Kaczorówka, Prądnik Biały, Kraków, małopolskie",1 120 000 zł,"94,75 m²","11 820,58 zł/m²",1,2,4,2019,garaż,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24766677.html",Mieszkanie,"Bajeczna, Grzegórzki, Kraków, małopolskie",1 299 000 zł,"70,27 m²","18 485,84 zł/m²",1,6,2,2017,parking publiczny / na ulicy,wtórny,
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,osiedle-wizjonerow-etap-odkrywcow-l/24598653.html?2%2Cmieszkanie","Nowe mieszkanie Bronowice Małe, ul. Odkrywców",,,"47,40 m²",,II kwartał 2024,,1,2,-,dostępne,
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,osiedle-wizjonerow-etap-odkrywcow-l/24598572.html?2%2Cmieszkanie","Nowe mieszkanie Bronowice Małe, ul. Odkrywców",,,"48,07 m²",,II kwartał 2024,,3,2,-,dostępne,
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,osiedle-wizjonerow-etap-odkrywcow-l/24598735.html?2%2Cmieszkanie","Nowe mieszkanie Bronowice Małe, ul. Odkrywców",,,"64,43 m²",,II kwartał 2024,,3,3,-,dostępne,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24771931.html","Mieszkanie, Osiedle Jagiellońskie","Osiedle Jagiellońskie, Bieńczyce, Kraków, małopolskie",539 000 zł,38 m²,"14 184,21 zł/m²",4,4,2,1975,parking strzeżony w pobliżu,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24345149.html","Kawalerka, ul. Traugutta","Traugutta, Podgórze, Kraków, małopolskie",199 500 zł,"15,50 m²","12 870,97 zł/m²",suterena,4,1,1920,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-oddzielna-kuchnia/24807883.html","Mieszkanie, ul. Bunscha","Bunscha, Zielone, Kraków, małopolskie",1 299 000 zł,"78,44 m²","16 560,43 zł/m²",1,,4,2010,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/24693559.html","Apartament, ul. Poznańska","Poznańska, Krowodrza, Kraków, małopolskie",949 000 zł,"55,68 m²","17 043,82 zł/m²",1,7,2,2009,garaż,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24800229.html","Kawalerka, ul. Felicjanek","Felicjanek, Nowy Świat, Kraków, małopolskie",556 000 zł,"20,60 m²","26 990,29 zł/m²",1,4,1,1940,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/24775861.html","Mieszkanie, ul. Reja","Reja 15, Żabiniec, Kraków, małopolskie",949 000 zł,66 m²,"14 378,79 zł/m²",parter,3,3,2000,parking publiczny / na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,kollataja-12/24553371.html?2%2Cmieszkanie","Nowe mieszkanie Wesoła, ul. Hugona Kołłątaja 12",,1 023 000 zł,"43,35 m²","23 598,62 zł/m²",I kwartał 2024,,4,2,naziemne,I kwartał 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,kollataja-12/24556498.html?2%2Cmieszkanie","Nowe mieszkanie Wesoła, ul. Hugona Kołłątaja 12",,1 047 000 zł,"59,16 m²","17 697,77 zł/m²",I kwartał 2024,,parter,3,naziemne,I kwartał 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,kollataja-12/24553380.html?2%2Cmieszkanie","Nowe mieszkanie Wesoła, ul. Hugona Kołłątaja 12",,1 059 000 zł,"60,57 m²","17 483,90 zł/m²",I kwartał 2024,,parter,3,naziemne,I kwartał 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/24789220.html",Apartament,"Morelowa, Wola Justowska, Kraków, małopolskie",1 290 000 zł,"66,04 m²","19 533,62 zł/m²",parter,2,2,2019,garaż,wtórny,
"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/24595016.html","Mieszkanie, ul. Wyżynna","Wyżynna 4, Kurdwanów, Kraków, małopolskie",950 000 zł,70 m²,"13 571,43 zł/m²",1,2,4,2016,przynależne na ulicy,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,do-odswiezenia/24802796.html","Apartament, ul. Łużycka","Łużycka, Piaski Wielkie, Kraków, małopolskie",799 000 zł,55 m²,"14 527,27 zł/m²",1,3,2,2014,w garażu podziemnym,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,dom-przy-biezanowskiej/24308246.html?2%2Cmieszkanie","Nowe mieszkanie Prokocim, ul. Bieżanowska",,821 804 zł,"64,76 m²",12 690 zł/m²,sierpień 2024,,2,4,garaż,sierpień 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,nad-rzeka/24722719.html","Apartament, ul. Pawlickiego","Pawlickiego, Ludwinów, Kraków, małopolskie",1 550 000 zł,"87,35 m²","17 744,71 zł/m²",1,3,3,2005,garaż,wtórny,własność
"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24708900.html",Mieszkanie,"Emaus, Zwierzyniec, Kraków, małopolskie",1 550 000 zł,"103,50 m²","14 975,85 zł/m²",1,2,5,2020,garaż,wtórny,
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,dom-przy-biezanowskiej/24309289.html?2%2Cmieszkanie","Nowe mieszkanie Prokocim, ul. Bieżanowska",,763 430 zł,"60,16 m²",12 690 zł/m²,sierpień 2024,,2,4,garaż,sierpień 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/nowe-mieszkanie,dom-przy-biezanowskiej/24309314.html?2%2Cmieszkanie","Nowe mieszkanie Prokocim, ul. Bieżanowska",,821 804 zł,"64,76 m²",12 690 zł/m²,sierpień 2024,,2,4,garaż,sierpień 2024,pierwotny (oferta dewelopera)
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,przy-lesie/24462311.html","Apartament, ul. Szablowskiego","Szablowskiego, Bronowice, Kraków, małopolskie",599 000 zł,40 m²,14 975 zł/m²,parter,3,2,2001,tak,wtórny,"własność, księga wieczysta"
"https://krakow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/24786308.html",Mieszkanie,"Nuszkiewicza, Prądnik Czerwony, Kraków, małopolskie",719 000 zł,"51,70 m²","13 907,16 zł/m²",1,3,2,2002,tak,wtórny,własność
